ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (Aggregate levels): Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (Aggregate levels): Less than basic,,2017,301.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (Aggregate levels): Basic,,2017,5061.883,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (Aggregate levels): Intermediate,,2017,4454.956,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (Aggregate levels): Advanced,,2017,4745.378,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (Aggregate levels): Level not stated,,2017,16.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (Aggregate levels): Total,,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (Aggregate levels): Less than basic,,2017,217.738,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (Aggregate levels): Basic,,2017,3498.123,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (Aggregate levels): Intermediate,,2017,2810.894,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (Aggregate levels): Advanced,,2017,2158.267,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (Aggregate levels): Level not stated,,2017,10.287,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Female,Education (Aggregate levels): Total,,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Female,Education (Aggregate levels): Less than basic,,2017,83.761,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Female,Education (Aggregate levels): Basic,,2017,1563.76,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Female,Education (Aggregate levels): Intermediate,,2017,1644.062,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Female,Education (Aggregate levels): Advanced,,2017,2587.111,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Female,Education (Aggregate levels): Level not stated,,2017,6.282,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): X. No schooling,,2017,301.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 1. Primary education,,2017,3104.972,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 2. Lower secondary education,,2017,1956.911,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 3. Upper secondary education,,2017,4454.956,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 5. Short-cycle tertiary education,,2017,1265.262,,Nonstandard education level: Including 8,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 6. Bachelor's or equivalent level,,2017,3402.855,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 7. Master's or equivalent level,,2017,77.261,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Total,Education (ISCED-11): 9. Not elsewhere classified,,2017,16.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): Total,,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): X. No schooling,,2017,217.738,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): 1. Primary education,,2017,2188.48,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): 2. Lower secondary education,,2017,1309.643,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): 3. Upper secondary education,,2017,2810.894,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): 5. Short-cycle tertiary education,,2017,674.501,,Nonstandard education level: Including 8,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): 6. Bachelor's or equivalent level,,2017,1457.581,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and education (thousands),Sex: Male,Education (ISCED-11): 7. Master's or equivalent level,,2017,26.185,,,,Repository: ILO-STATISTICS - Micro data processing
