ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 1-4 persons,,2017,7106.582,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 5-49 persons,,2017,5948.011,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 50+ persons,,2017,1434.466,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): Not stated,,2017,91.226,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): Total,,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): 1-4 persons,,2017,4555.984,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): 5-49 persons,,2017,3217.397,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): 50+ persons,,2017,899.483,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): Not stated,,2017,22.445,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): Total,,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): 1-4 persons,,2017,2550.598,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): 5-49 persons,,2017,2730.614,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): 50+ persons,,2017,534.983,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): Not stated,,2017,68.781,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 1 person,,2017,4895.54,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 2-4 persons,,2017,2211.042,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 5-9 persons,,2017,1338.766,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 10-19 persons,,2017,612.607,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 20-49 persons,,2017,3996.638,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 50+ persons,,2017,1434.466,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): Not stated,,2017,91.226,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): Total,,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): 1 person,,2017,3025.776,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): 2-4 persons,,2017,1530.208,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): 5-9 persons,,2017,860.907,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): 10-19 persons,,2017,390.059,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): 20-49 persons,,2017,1966.431,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): 50+ persons,,2017,899.483,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Male,Establishment size (Detailed): Not stated,,2017,22.445,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): Total,,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): 1 person,,2017,1869.764,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): 2-4 persons,,2017,680.834,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): 5-9 persons,,2017,477.859,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): 10-19 persons,,2017,222.548,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): 20-49 persons,,2017,2030.207,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): 50+ persons,,2017,534.983,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Female,Establishment size (Detailed): Not stated,,2017,68.781,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): Total,,2016,13035.491,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 1-4 persons,,2016,5826.194,,,,Repository: ILO-STATISTICS - Micro data processing
