ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,2879.031,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2017,11385.968,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 1 ~ low,,2017,69.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2017,245.923,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Total,,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,1168.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2017,7289.828,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 1 ~ low,,2017,58.534,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2017,178.297,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and occupation (thousands),Sex: Female,Occupation (Skill level): Total,,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
