ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): Total,,2022,10352.055,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 1. Managers,,2022,200.786,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 2. Professionals,,2022,1258.654,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 3. Technicians and associate professionals,,2022,1047.809,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 4. Clerical support workers,,2022,616.352,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 5. Service and sales workers,,2022,3636.323,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 7. Craft and related trades workers,,2022,1459.544,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Occupation (Detailed): 8. Plant and machine operators, and assemblers",,2022,1015.793,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Occupation (Detailed): 96. Elementary occupations and skilled agricultural, forestry and fishery workers",,2022,1116.794,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): Total,,2022,6623.136,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 1. Managers,,2022,142.746,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 2. Professionals,,2022,583.824,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 3. Technicians and associate professionals,,2022,616.848,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 4. Clerical support workers,,2022,201.903,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 5. Service and sales workers,,2022,1944.821,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 7. Craft and related trades workers,,2022,1162.739,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Occupation (Detailed): 8. Plant and machine operators, and assemblers",,2022,959.306,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Occupation (Detailed): 96. Elementary occupations and skilled agricultural, forestry and fishery workers",,2022,1010.95,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): Total,,2022,3728.919,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 1. Managers,,2022,58.04,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 2. Professionals,,2022,674.83,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 3. Technicians and associate professionals,,2022,430.962,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 4. Clerical support workers,,2022,414.449,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 5. Service and sales workers,,2022,1691.502,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 7. Craft and related trades workers,,2022,296.805,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Occupation (Detailed): 8. Plant and machine operators, and assemblers",,2022,56.486,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Occupation (Detailed): 96. Elementary occupations and skilled agricultural, forestry and fishery workers",,2022,105.844,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): Total,,2021,9659.382,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 1. Managers,,2021,178.682,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 2. Professionals,,2021,1204.457,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 3. Technicians and associate professionals,,2021,968.537,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 4. Clerical support workers,,2021,564.388,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 5. Service and sales workers,,2021,3325.323,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,Occupation (Detailed): 7. Craft and related trades workers,,2021,1418.961,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Occupation (Detailed): 8. Plant and machine operators, and assemblers",,2021,958.097,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Occupation (Detailed): 96. Elementary occupations and skilled agricultural, forestry and fishery workers",,2021,1040.938,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): Total,,2021,5930.202,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 1. Managers,,2021,119.651,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 2. Professionals,,2021,491.033,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 3. Technicians and associate professionals,,2021,514.957,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 4. Clerical support workers,,2021,178.308,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 5. Service and sales workers,,2021,1710.991,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,Occupation (Detailed): 7. Craft and related trades workers,,2021,1084.177,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Occupation (Detailed): 8. Plant and machine operators, and assemblers",,2021,898.435,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Occupation (Detailed): 96. Elementary occupations and skilled agricultural, forestry and fishery workers",,2021,932.651,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): Total,,2021,3729.18,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,Occupation (Detailed): 1. Managers,,2021,59.031,,,,
