ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 1-14,,2017,405.822,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 15-29,,2017,900.625,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 30-34,,2017,543.283,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 35-39,,2017,1902.204,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 40-48,,2017,9350.876,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 49+,,2017,887.807,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Not elsewhere classified,,2017,589.668,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: Total,,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 1-14,,2017,183.685,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 15-29,,2017,399.42,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 30-34,,2017,241.804,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 35-39,,2017,962.937,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 40-48,,2017,5962.957,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 49+,,2017,698.172,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: Not elsewhere classified,,2017,246.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: Total,,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 1-14,,2017,222.137,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 15-29,,2017,501.205,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 30-34,,2017,301.479,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 35-39,,2017,939.267,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 40-48,,2017,3387.919,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 49+,,2017,189.635,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: Not elsewhere classified,,2017,343.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Total,,2016,13035.491,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: No hours actually worked,,2016,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 1-14,,2016,332.996,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 15-29,,2016,849.022,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 30-34,,2016,472.356,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 35-39,,2016,1413.708,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 40-48,,2016,8188.592,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 49+,,2016,919.337,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Not elsewhere classified,,2016,858.42,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: Total,,2016,7915.254,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: No hours actually worked,,2016,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 1-14,,2016,136.628,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 15-29,,2016,385.142,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 30-34,,2016,202.308,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 35-39,,2016,682.261,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 40-48,,2016,5328.853,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 49+,,2016,703.481,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: Not elsewhere classified,,2016,476.131,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: Total,,2016,5120.237,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: No hours actually worked,,2016,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 1-14,,2016,196.368,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 15-29,,2016,463.88,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 30-34,,2016,270.048,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 35-39,,2016,731.447,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 40-48,,2016,2859.739,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: 49+,,2016,215.856,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Female,Hour bands: Not elsewhere classified,,2016,382.289,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Total,,2012,12418.318,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: No hours actually worked,,2012,1.165,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 1-14,,2012,398.609,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 15-29,,2012,990.142,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 30-34,,2012,366.586,,,,Repository: ILO-STATISTICS - Micro data processing
