ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,395.872,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 2 ~ medium,2017,6596.145,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 1 ~ low,2017,25.908,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Not elsewhere classified,2017,102.316,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Total,2017,968.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,5.542,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 2 ~ medium,2017,958.566,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 1 ~ low,2017,4.451,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Total,2017,6151.682,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,390.33,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Skill level 2 ~ medium,2017,5637.579,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Skill level 1 ~ low,2017,21.457,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Total,2017,1538.082,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,48.162,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill level 2 ~ medium,2017,1469.455,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill level 1 ~ low,2017,20.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Total,2017,4502.47,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,340.444,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Skill level 2 ~ medium,2017,4156.056,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Skill level 1 ~ low,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Not elsewhere classified,2017,5.008,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Total,2017,111.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,1.724,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Skill level 2 ~ medium,2017,12.068,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Skill level 1 ~ low,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Not elsewhere classified,2017,97.062,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,95.771,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 2. Professionals,2017,300.101,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 4. Clerks,2017,113.543,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,2999.929,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,968.493,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,2514.18,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 9. Elementary occupations,2017,25.908,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 0. Armed forces,2017,3.013,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): X. Not elsewhere classified,2017,99.303,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): Total,2017,968.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,2.62,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 2. Professionals,2017,2.922,Unreliable,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 4. Clerks,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,21.033,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,924.081,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,13.284,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 9. Elementary occupations,2017,4.451,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): Total,2017,6151.682,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,93.151,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 2. Professionals,2017,297.179,Unreliable,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 4. Clerks,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,2978.896,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,44.412,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,2500.896,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 9. Elementary occupations,2017,21.457,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): Total,2017,1538.082,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,21.225,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 2. Professionals,2017,26.937,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 4. Clerks,2017,22.685,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment outside the formal sector by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,52.855,,,,Repository: ILO-STATISTICS - Micro data processing
