ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Agriculture,2017,968.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Non-agriculture,2017,6151.682,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Industry,2017,1538.082,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Services,2017,4502.47,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Not classified,2017,111.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Broad sector): Total,2017,6652.964,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Broad sector): Agriculture,2017,885.268,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Broad sector): Non-agriculture,2017,5767.696,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Broad sector): Industry,2017,1437.359,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Broad sector): Services,2017,4220.599,,,,Repository: ILO-STATISTICS - Micro data processing
