ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,395.872,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,6596.145,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,25.908,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,102.316,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Total,2017,6652.964,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,358.991,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 2 ~ medium,2017,6167.642,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 1 ~ low,2017,25.407,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Not elsewhere classified,2017,100.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,1184.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,53.243,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 2 ~ medium,2017,1089.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 1 ~ low,2017,9.208,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Not elsewhere classified,2017,32.66,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Total,2017,5936.0,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,342.629,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 2 ~ medium,2017,5507.015,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 1 ~ low,2017,16.7,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Not elsewhere classified,2017,69.656,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,4535.43,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,197.619,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,4257.051,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,18.354,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,62.406,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Total,2017,4243.399,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,179.148,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 2 ~ medium,2017,3984.697,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 1 ~ low,2017,18.354,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Not elsewhere classified,2017,61.2,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,814.589,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,30.063,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 2 ~ medium,2017,752.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 1 ~ low,2017,6.321,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
