ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Less than basic,2017,253.098,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Basic,2017,3394.607,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Intermediate,2017,2228.442,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Advanced,2017,1232.479,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Level not stated,2017,11.615,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Total,2017,968.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Less than basic,2017,107.536,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Basic,2017,658.381,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Intermediate,2017,153.26,,,,Repository: ILO-STATISTICS - Micro data processing
