ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 1-4 persons,2017,6026.003,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 5-49 persons,2017,757.481,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 50+ persons,2017,245.852,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Not stated,2017,90.905,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Total,2017,968.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 1-4 persons,2017,809.537,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 5-49 persons,2017,151.621,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 50+ persons,2017,5.178,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Not stated,2017,2.223,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): Total,2017,6151.682,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): 1-4 persons,2017,5216.466,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): 5-49 persons,2017,605.86,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): 50+ persons,2017,240.674,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): Not stated,2017,88.682,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Establishment size (Aggregate): Total,2017,1538.082,,,,Repository: ILO-STATISTICS - Micro data processing
