ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Total,2017,7120.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3199.889,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,3912.46,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Not elsewhere classified,2017,7.892,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Total,2017,253.098,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Single / Widowed / Divorced,2017,135.58,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Married / Union / Cohabiting,2017,116.99,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Total,2017,3394.607,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Single / Widowed / Divorced,2017,1437.071,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment outside the formal sector by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Married / Union / Cohabiting,2017,1954.688,,,,Repository: ILO-STATISTICS - Micro data processing
