ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2017,33.593,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2017,56.513,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2017,36.931,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2017,34.725,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2017,25.862,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2017,43.123,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2017,30.023,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2017,44.464,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2017,31.457,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2017,33.144,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2017,24.156,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2017,38.286,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2017,57.82,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Inactivity rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,62.505,,,,Repository: ILO-STATISTICS - Micro data processing
