ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Total,"Age (Youth, adults): 15+",,2020,40.12,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Total,"Age (Youth, adults): 15-64",,2020,35.32,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Total,"Age (Youth, adults): 15-24",,2020,62.81,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Total,"Age (Youth, adults): 25+",,2020,34.17,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Male,"Age (Youth, adults): 15+",,2020,27.28,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Male,"Age (Youth, adults): 15-64",,2020,22.63,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Male,"Age (Youth, adults): 15-24",,2020,54.41,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Male,"Age (Youth, adults): 25+",,2020,20.02,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Female,"Age (Youth, adults): 15+",,2020,52.75,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and age (%),Sex: Female,"Age (Youth, adults): 15-64",,2020,48.05,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
