ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Total,"Age (Youth, adults): 15+",,2025,44.187,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Total,"Age (Youth, adults): 15-24",,2025,71.654,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Total,"Age (Youth, adults): 25+",,2025,35.231,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Male,"Age (Youth, adults): 15+",,2025,28.402,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Male,"Age (Youth, adults): 15-24",,2025,60.109,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Male,"Age (Youth, adults): 25+",,2025,17.351,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Female,"Age (Youth, adults): 15+",,2025,59.195,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Female,"Age (Youth, adults): 15-24",,2025,83.779,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Female,"Age (Youth, adults): 25+",,2025,51.687,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Total,"Age (Youth, adults): 15+",,2024,44.676,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",Sex: Total,"Age (Youth, adults): 15-24",,2024,72.114,,,,
