ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Total,Education (Aggregate levels): Total,,2017,33.593,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Total,Education (Aggregate levels): Less than basic,,2017,56.513,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Total,Education (Aggregate levels): Basic,,2017,36.931,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Total,Education (Aggregate levels): Intermediate,,2017,34.725,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Total,Education (Aggregate levels): Advanced,,2017,25.862,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Total,Education (Aggregate levels): Level not stated,,2017,43.123,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Male,Education (Aggregate levels): Total,,2017,20.621,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Male,Education (Aggregate levels): Less than basic,,2017,36.239,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Male,Education (Aggregate levels): Basic,,2017,19.856,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Male,Education (Aggregate levels): Intermediate,,2017,21.27,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Male,Education (Aggregate levels): Advanced,,2017,18.95,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Male,Education (Aggregate levels): Level not stated,,2017,38.812,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Female,Education (Aggregate levels): Total,,2017,46.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Female,Education (Aggregate levels): Less than basic,,2017,76.22,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Female,Education (Aggregate levels): Basic,,2017,57.16,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Female,Education (Aggregate levels): Intermediate,,2017,49.278,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and education (%),Sex: Female,Education (Aggregate levels): Advanced,,2017,30.75,,,,Repository: ILO-STATISTICS - Micro data processing
