ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Total,Marital status (Aggregate): Total,,2017,33.593,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Total,Marital status (Aggregate): Single / Widowed / Divorced,,2017,40.877,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Total,Marital status (Aggregate): Married / Union / Cohabiting,,2017,26.474,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Total,Marital status (Aggregate): Not elsewhere classified,,2017,48.868,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Male,Marital status (Aggregate): Total,,2017,20.621,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Male,Marital status (Aggregate): Single / Widowed / Divorced,,2017,32.657,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Male,Marital status (Aggregate): Married / Union / Cohabiting,,2017,9.721,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Male,Marital status (Aggregate): Not elsewhere classified,,2017,38.832,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Female,Marital status (Aggregate): Total,,2017,46.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Female,Marital status (Aggregate): Single / Widowed / Divorced,,2017,48.374,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Female,Marital status (Aggregate): Married / Union / Cohabiting,,2017,44.223,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Inactivity rate by sex and marital status (%),Sex: Female,Marital status (Aggregate): Not elsewhere classified,,2017,62.374,,,,Repository: ILO-STATISTICS - Micro data processing
