ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2017,273.605,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2017,3823.396,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2017,2687.249,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2017,1708.192,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2017,12.969,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2017,7982.605,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2017,210.941,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2017,3497.089,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2017,2611.475,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2017,1651.183,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2017,11.917,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2017,1490.591,,,,Repository: ILO-STATISTICS - Micro data processing
