ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,719.155,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,7614.045,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,32.297,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,139.914,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Total,2017,7982.605,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,665.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 2 ~ medium,2017,7147.451,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 1 ~ low,2017,31.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Not elsewhere classified,2017,137.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,1490.591,,,,Repository: ILO-STATISTICS - Micro data processing
