ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Less than basic,2017,273.605,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Basic,2017,3823.396,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Intermediate,2017,2687.249,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Advanced,2017,1708.192,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Total,Education (Aggregate levels): Level not stated,2017,12.969,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Total,2017,1053.866,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Less than basic,2017,111.638,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Basic,2017,709.404,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Intermediate,2017,174.591,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Advanced,2017,56.114,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Education (Aggregate levels): Level not stated,2017,2.119,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Education (Aggregate levels): Total,2017,7451.545,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Education (Aggregate levels): Less than basic,2017,161.967,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Education (Aggregate levels): Basic,2017,3113.992,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Education (Aggregate levels): Intermediate,2017,2512.658,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and education (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Education (Aggregate levels): Advanced,2017,1652.078,,,,Repository: ILO-STATISTICS - Micro data processing
