ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 1-4 persons,2017,6302.089,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 5-49 persons,2017,1748.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 50+ persons,2017,363.877,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Not stated,2017,91.226,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Total,2017,1053.866,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 1-4 persons,2017,833.106,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 5-49 persons,2017,208.942,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 50+ persons,2017,9.595,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Not stated,2017,2.223,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
