ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3857.523,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,4637.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Not elsewhere classified,2017,10.317,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Total,2017,1053.866,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Single / Widowed / Divorced,2017,486.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Married / Union / Cohabiting,2017,566.564,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Marital status (Aggregate): Total,2017,7451.545,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Marital status (Aggregate): Single / Widowed / Divorced,2017,3370.893,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Marital status (Aggregate): Married / Union / Cohabiting,2017,4071.007,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Total,2017,1771.977,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Single / Widowed / Divorced,2017,748.75,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Married / Union / Cohabiting,2017,1019.863,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Not elsewhere classified,2017,3.364,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Total,2017,5555.384,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Single / Widowed / Divorced,2017,2555.947,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Married / Union / Cohabiting,2017,2993.156,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and marital status (thousands)",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Not elsewhere classified,2017,6.281,,,,Repository: ILO-STATISTICS - Micro data processing
