ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Public,2017,509.241,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Private,2017,7996.17,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,1053.866,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,6.022,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,1047.844,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Total,2017,7451.545,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Public,2017,503.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Private,2017,6948.326,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,1771.977,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,45.377,,,,Repository: ILO-STATISTICS - Micro data processing
