ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Total,2017,8505.411,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3857.523,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,4637.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Not elsewhere classified,2017,10.317,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Total,2017,6302.089,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,2791.852,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,3504.853,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Not elsewhere classified,2017,5.384,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Total,2017,1748.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,852.465,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,892.213,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Not elsewhere classified,2017,3.541,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Total,2017,363.877,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,167.133,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,195.352,,,,Repository: ILO-STATISTICS - Micro data processing
