ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Total,2017,58.335,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,24.979,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 2 ~ medium,2017,66.872,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 1 ~ low,2017,46.562,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Not elsewhere classified,2017,56.893,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Total,2017,90.345,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,34.752,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 2 ~ medium,2017,91.397,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 1 ~ low,2017,81.58,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Informal employment rate by economic activity and occupation (%),,Economic activity (Broad sector): Industry,Occupation (Skill level): Total,2017,61.227,,,,Repository: ILO-STATISTICS - Micro data processing
