ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Total,2017,58.335,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Agriculture,2017,90.345,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Industry,2017,61.227,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Services,2017,53.603,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Not classified,2017,79.734,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Total,2017,74.558,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Agriculture,2017,95.895,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Industry,2017,75.245,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Services,2017,69.917,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and economic activity (%)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Not classified,2017,94.321,,,,Repository: ILO-STATISTICS - Micro data processing
