ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,58.335,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,24.979,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,66.872,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,46.562,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,56.893,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,74.558,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,54.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 2 ~ medium,2017,77.166,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 1 ~ low,2017,70.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Not elsewhere classified,2017,64.787,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Total,2017,55.757,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,23.033,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 2 ~ medium,2017,65.032,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 1 ~ low,2017,40.533,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Not elsewhere classified,2017,53.207,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,61.185,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,27.648,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,67.034,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,40.592,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,48.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,76.157,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,60.284,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 2 ~ medium,2017,78.269,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 1 ~ low,2017,62.693,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Not elsewhere classified,2017,60.552,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 25+",Occupation (Skill level): Total,2017,58.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 25+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,25.101,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 2 ~ medium,2017,64.897,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 1 ~ low,2017,35.406,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Male,"Age (Youth, adults): 25+",Occupation (Skill level): Not elsewhere classified,2017,42.303,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, age and occupation (%)",Sex: Female,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,54.124,,,,Repository: ILO-STATISTICS - Micro data processing
