ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Total,2017,58.335,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Public,2017,16.351,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Private,2017,69.739,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,90.345,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,61.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,90.587,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,61.227,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,13.551,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,67.465,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Total,2017,53.603,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Public,2017,16.55,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Private,2017,67.048,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Total,2017,79.734,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Public,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Private,2017,84.658,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Total,2017,61.185,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Public,2017,15.011,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Private,2017,70.11,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,90.452,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,57.597,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,90.661,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,60.914,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,11.682,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,67.701,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Services,Institutional sector: Total,2017,55.271,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Services,Institutional sector: Public,2017,15.566,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, economic activity and public/private sector (%)",Sex: Male,Economic activity (Broad sector): Services,Institutional sector: Private,2017,65.897,,,,Repository: ILO-STATISTICS - Micro data processing
