ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,58.335,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,61.707,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,55.773,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Not elsewhere classified,2017,74.599,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Total,2017,24.979,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Single / Widowed / Divorced,2017,28.248,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Married / Union / Cohabiting,2017,22.616,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Total,2017,66.872,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Single / Widowed / Divorced,2017,69.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Married / Union / Cohabiting,2017,64.582,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Not elsewhere classified,2017,81.062,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Total,2017,46.562,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Single / Widowed / Divorced,2017,56.091,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Married / Union / Cohabiting,2017,41.779,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Total,2017,56.893,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Single / Widowed / Divorced,2017,65.393,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Married / Union / Cohabiting,2017,49.781,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,61.185,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Informal employment rate by sex, occupation and marital status (%)",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,66.785,,,,Repository: ILO-STATISTICS - Micro data processing
