ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2020,10459.801,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2020,688.11,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2020,9771.692,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2020,1476.298,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2020,170.609,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2020,1305.689,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2020,8983.503,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2020,517.501,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2020,8466.002,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2020,6791.159,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2020,452.166,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2020,6338.993,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2020,1084.849,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2020,128.775,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2020,956.074,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2020,5706.31,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Rural,2020,323.39,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Urban,2020,5382.919,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: National,2020,3668.643,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Rural,2020,235.944,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Urban,2020,3432.698,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: National,2020,391.449,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Rural,2020,41.834,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Urban,2020,349.615,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: National,2020,3277.194,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: Rural,2020,194.11,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: Urban,2020,3083.083,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2019,10920.798,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2019,685.134,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2019,10235.664,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2019,1619.905,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2019,168.974,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2019,1450.932,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2019,9300.892,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2019,516.16,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2019,8784.732,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2019,7071.264,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2019,448.502,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2019,6622.762,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2019,1186.569,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2019,124.03,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2019,1062.54,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2019,5884.695,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Rural,2019,324.472,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Urban,2019,5560.222,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: National,2019,3849.534,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Rural,2019,236.632,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Urban,2019,3612.902,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: National,2019,433.336,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Rural,2019,44.944,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Urban,2019,388.392,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: National,2019,3416.198,,,,
