ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2025,12482.01,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2025,1558.844,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2025,10923.166,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2025,7803.916,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2025,1123.78,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2025,6680.137,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2025,4678.094,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",,2025,435.064,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 25+",,2025,4243.029,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2024,12041.206,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2024,1479.588,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2024,10561.618,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2024,7557.843,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2024,1063.342,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2024,6494.501,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2024,4483.363,,,,
