ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2017,66.407,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2017,43.487,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2017,63.069,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2017,65.275,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2017,74.138,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2017,56.877,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2017,69.977,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2017,55.536,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2017,68.543,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2017,66.856,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2017,75.844,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2017,61.714,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2017,42.18,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,37.495,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2017,42.266,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2017,41.449,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2017,43.447,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2017,46.849,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2017,73.77,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2017,44.091,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2017,67.882,,,,Repository: ILO-STATISTICS - Micro data processing
