ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Total,2017,66.407,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,59.123,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,73.526,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Not elsewhere classified,2017,51.132,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Total,2017,43.487,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Single / Widowed / Divorced,2017,35.456,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Married / Union / Cohabiting,2017,57.682,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Total,2017,63.069,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Single / Widowed / Divorced,2017,55.933,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Married / Union / Cohabiting,2017,69.244,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Not elsewhere classified,2017,43.512,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Intermediate,Marital status (Aggregate): Total,2017,65.275,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Intermediate,Marital status (Aggregate): Single / Widowed / Divorced,2017,56.999,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Intermediate,Marital status (Aggregate): Married / Union / Cohabiting,2017,73.433,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Intermediate,Marital status (Aggregate): Not elsewhere classified,2017,55.846,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Labour force participation rate by sex, education and marital status (%)",Sex: Total,Education (Aggregate levels): Advanced,Marital status (Aggregate): Total,2017,74.138,,,,Repository: ILO-STATISTICS - Micro data processing
