ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 15+",Working time arrangement: Total,2017,38.65,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 15+",Working time arrangement: Part-time,2017,28.77,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 15+",Working time arrangement: Full-time,2017,42.04,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 15-24",Working time arrangement: Total,2017,37.93,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 15-24",Working time arrangement: Part-time,2017,27.7,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 15-24",Working time arrangement: Full-time,2017,42.04,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 25+",Working time arrangement: Total,2017,38.76,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 25+",Working time arrangement: Part-time,2017,28.97,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,"Age (Youth, adults): 25+",Working time arrangement: Full-time,2017,42.04,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 15+",Working time arrangement: Total,2017,39.85,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 15+",Working time arrangement: Part-time,2017,29.45,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 15+",Working time arrangement: Full-time,2017,42.42,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 15-24",Working time arrangement: Total,2017,38.59,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 15-24",Working time arrangement: Part-time,2017,28.26,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 15-24",Working time arrangement: Full-time,2017,42.15,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 25+",Working time arrangement: Total,2017,40.07,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 25+",Working time arrangement: Part-time,2017,29.74,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Male,"Age (Youth, adults): 25+",Working time arrangement: Full-time,2017,42.47,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 15+",Working time arrangement: Total,2017,36.82,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 15+",Working time arrangement: Part-time,2017,28.18,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 15+",Working time arrangement: Full-time,2017,41.34,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 15-24",Working time arrangement: Total,2017,36.62,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 15-24",Working time arrangement: Part-time,2017,26.88,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 15-24",Working time arrangement: Full-time,2017,41.78,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 25+",Working time arrangement: Total,2017,36.84,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 25+",Working time arrangement: Part-time,2017,28.36,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Female,"Age (Youth, adults): 25+",Working time arrangement: Full-time,2017,41.28,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): Total,Working time arrangement: Total,2017,38.65,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): Total,Working time arrangement: Part-time,2017,28.77,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): Total,Working time arrangement: Full-time,2017,42.04,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): 15-24,Working time arrangement: Total,2017,37.93,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): 15-24,Working time arrangement: Part-time,2017,27.7,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): 15-24,Working time arrangement: Full-time,2017,42.04,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): 25-54,Working time arrangement: Total,2017,38.97,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, age and working time arrangement",Sex: Total,Age (Aggregate bands): 25-54,Working time arrangement: Part-time,2017,29.19,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
