ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Total,2017,38.65,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 1-4 persons,2017,37.53,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 5-49 persons,2017,39.83,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 50+ persons,2017,40.26,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Not stated,2017,22.02,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Total,2017,39.16,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 1-4 persons,2017,39.1,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 5-49 persons,2017,39.49,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 50+ persons,2017,39.36,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and establishment size",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Not stated,2017,18.71,Unreliable,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
