ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Total,2017,38.65,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Public,2017,39.34,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Private,2017,38.47,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,39.16,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,40.58,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,39.15,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,39.01,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,40.64,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,38.8,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Total,2017,38.49,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Public,2017,39.17,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Private,2017,38.26,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Total,2017,38.09,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Public,2017,37.83,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Private,2017,38.1,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Total,2017,39.85,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Public,2017,40.38,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Private,2017,39.75,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,39.39,,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
