ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Agriculture,2017,39.1,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Industry,2017,40.14,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Services,2017,39.52,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15+",Economic activity (Broad sector): Not classified,2017,40.46,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Total,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Agriculture,2017,38.36,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Industry,2017,39.42,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Services,2017,39.15,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Not classified,2017,38.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 25+",Economic activity (Broad sector): Total,2017,39.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 25+",Economic activity (Broad sector): Agriculture,2017,39.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 25+",Economic activity (Broad sector): Industry,2017,40.27,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 25+",Economic activity (Broad sector): Services,2017,39.58,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Total,"Age (Youth, adults): 25+",Economic activity (Broad sector): Not classified,2017,40.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15+",Economic activity (Broad sector): Total,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15+",Economic activity (Broad sector): Agriculture,2017,39.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15+",Economic activity (Broad sector): Industry,2017,40.22,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15+",Economic activity (Broad sector): Services,2017,40.5,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15+",Economic activity (Broad sector): Not classified,2017,41.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Total,2017,39.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Agriculture,2017,38.36,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Industry,2017,39.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Services,2017,39.68,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Not classified,2017,39.77,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 25+",Economic activity (Broad sector): Total,2017,40.53,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 25+",Economic activity (Broad sector): Agriculture,2017,39.69,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 25+",Economic activity (Broad sector): Industry,2017,40.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 25+",Economic activity (Broad sector): Services,2017,40.67,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Male,"Age (Youth, adults): 25+",Economic activity (Broad sector): Not classified,2017,42.28,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15+",Economic activity (Broad sector): Total,2017,38.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15+",Economic activity (Broad sector): Agriculture,2017,37.59,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15+",Economic activity (Broad sector): Industry,2017,39.87,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15+",Economic activity (Broad sector): Services,2017,38.59,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15+",Economic activity (Broad sector): Not classified,2017,39.06,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Total,2017,38.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Agriculture,2017,38.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Industry,2017,39.58,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Services,2017,38.43,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (Broad sector): Not classified,2017,36.87,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 25+",Economic activity (Broad sector): Total,2017,38.74,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 25+",Economic activity (Broad sector): Agriculture,2017,37.31,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 25+",Economic activity (Broad sector): Industry,2017,39.93,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and economic activity",Sex: Female,"Age (Youth, adults): 25+",Economic activity (Broad sector): Services,2017,38.61,,,,Repository: ILO-STATISTICS - Micro data processing
