ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 15+",Working time arrangement: Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 15+",Working time arrangement: Part-time,2017,30.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 15+",Working time arrangement: Full-time,2017,41.41,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 15-24",Working time arrangement: Total,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 15-24",Working time arrangement: Part-time,2017,28.45,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 15-24",Working time arrangement: Full-time,2017,41.78,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 25+",Working time arrangement: Total,2017,39.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 25+",Working time arrangement: Part-time,2017,30.82,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,"Age (Youth, adults): 25+",Working time arrangement: Full-time,2017,41.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 15+",Working time arrangement: Total,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 15+",Working time arrangement: Part-time,2017,29.93,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 15+",Working time arrangement: Full-time,2017,41.8,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 15-24",Working time arrangement: Total,2017,39.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 15-24",Working time arrangement: Part-time,2017,28.56,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 15-24",Working time arrangement: Full-time,2017,41.87,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 25+",Working time arrangement: Total,2017,40.53,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 25+",Working time arrangement: Part-time,2017,30.41,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,"Age (Youth, adults): 25+",Working time arrangement: Full-time,2017,41.79,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 15+",Working time arrangement: Total,2017,38.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 15+",Working time arrangement: Part-time,2017,30.7,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 15+",Working time arrangement: Full-time,2017,40.84,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 15-24",Working time arrangement: Total,2017,38.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 15-24",Working time arrangement: Part-time,2017,28.3,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 15-24",Working time arrangement: Full-time,2017,41.62,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 25+",Working time arrangement: Total,2017,38.74,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 25+",Working time arrangement: Part-time,2017,31.09,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,"Age (Youth, adults): 25+",Working time arrangement: Full-time,2017,40.73,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): Total,Working time arrangement: Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): Total,Working time arrangement: Part-time,2017,30.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): Total,Working time arrangement: Full-time,2017,41.41,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 15-24,Working time arrangement: Total,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 15-24,Working time arrangement: Part-time,2017,28.45,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 15-24,Working time arrangement: Full-time,2017,41.78,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 25-54,Working time arrangement: Total,2017,39.75,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 25-54,Working time arrangement: Part-time,2017,30.85,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 25-54,Working time arrangement: Full-time,2017,41.33,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 55-64,Working time arrangement: Total,2017,39.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 55-64,Working time arrangement: Part-time,2017,31.07,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 55-64,Working time arrangement: Full-time,2017,41.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 65+,Working time arrangement: Total,2017,39.28,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 65+,Working time arrangement: Part-time,2017,29.39,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (Aggregate bands): 65+,Working time arrangement: Full-time,2017,41.6,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): Total,Working time arrangement: Total,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): Total,Working time arrangement: Part-time,2017,29.93,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): Total,Working time arrangement: Full-time,2017,41.8,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 15-24,Working time arrangement: Total,2017,39.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 15-24,Working time arrangement: Part-time,2017,28.56,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 15-24,Working time arrangement: Full-time,2017,41.87,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 25-54,Working time arrangement: Total,2017,40.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 25-54,Working time arrangement: Part-time,2017,30.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 25-54,Working time arrangement: Full-time,2017,41.79,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 55-64,Working time arrangement: Total,2017,40.47,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 55-64,Working time arrangement: Part-time,2017,30.96,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 55-64,Working time arrangement: Full-time,2017,41.78,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 65+,Working time arrangement: Total,2017,39.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 65+,Working time arrangement: Part-time,2017,29.59,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Male,Age (Aggregate bands): 65+,Working time arrangement: Full-time,2017,41.96,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): Total,Working time arrangement: Total,2017,38.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): Total,Working time arrangement: Part-time,2017,30.7,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): Total,Working time arrangement: Full-time,2017,40.84,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 15-24,Working time arrangement: Total,2017,38.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 15-24,Working time arrangement: Part-time,2017,28.3,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 15-24,Working time arrangement: Full-time,2017,41.62,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 25-54,Working time arrangement: Total,2017,38.78,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 25-54,Working time arrangement: Part-time,2017,31.14,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 25-54,Working time arrangement: Full-time,2017,40.73,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 55-64,Working time arrangement: Total,2017,38.46,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 55-64,Working time arrangement: Part-time,2017,31.16,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 55-64,Working time arrangement: Full-time,2017,40.68,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 65+,Working time arrangement: Total,2017,38.15,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 65+,Working time arrangement: Part-time,2017,29.11,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Female,Age (Aggregate bands): 65+,Working time arrangement: Full-time,2017,40.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (10-year bands): Total,Working time arrangement: Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (10-year bands): Total,Working time arrangement: Part-time,2017,30.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (10-year bands): Total,Working time arrangement: Full-time,2017,41.41,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (10-year bands): 15-24,Working time arrangement: Total,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (10-year bands): 15-24,Working time arrangement: Part-time,2017,28.45,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, age and type of job contract",Sex: Total,Age (10-year bands): 15-24,Working time arrangement: Full-time,2017,41.78,,,,Repository: ILO-STATISTICS - Micro data processing
