ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.84,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Total,Marital status (Aggregate): Not elsewhere classified,2017,37.4,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Total,2017,39.1,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Single / Widowed / Divorced,2017,38.06,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.08,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Agriculture,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Total,2017,40.14,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.91,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.3,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Industry,Marital status (Aggregate): Not elsewhere classified,2017,40.0,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Total,2017,39.52,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.35,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and marital status",Sex: Total,Economic activity (Broad sector): Services,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.67,,,,Repository: ILO-STATISTICS - Micro data processing
