ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Public,2017,39.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Private,2017,39.8,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,39.1,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,40.58,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,39.07,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,40.14,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,40.64,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,40.01,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Total,2017,39.52,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Public,2017,39.17,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, economic activity and public/private sector",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Private,2017,39.79,,,,Repository: ILO-STATISTICS - Micro data processing
