ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.84,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Not elsewhere classified,2017,37.4,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Total,2017,38.88,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,38.43,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Total,2017,39.7,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.51,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.86,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Not elsewhere classified,2017,36.78,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Total,2017,40.12,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,40.06,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.17,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Total,Establishment size (Aggregate): 50+ persons,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Male,Establishment size (Aggregate): Total,Marital status (Aggregate): Total,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Male,Establishment size (Aggregate): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.86,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Male,Establishment size (Aggregate): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.67,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, establishment size and marital status",Sex: Male,Establishment size (Aggregate): Total,Marital status (Aggregate): Not elsewhere classified,2017,40.51,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
