ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.84,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Not elsewhere classified,2017,37.4,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Total,2017,38.92,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Single / Widowed / Divorced,2017,38.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Married / Union / Cohabiting,2017,38.99,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Not elsewhere classified,2017,37.49,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Total,2017,39.76,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.49,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.0,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Not elsewhere classified,2017,37.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Total,2017,40.94,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Single / Widowed / Divorced,2017,40.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Married / Union / Cohabiting,2017,41.1,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Total,2017,43.69,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Single / Widowed / Divorced,2017,42.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Married / Union / Cohabiting,2017,44.82,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.86,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.67,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Not elsewhere classified,2017,40.51,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Total,2017,39.55,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.24,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Married / Union / Cohabiting,2017,39.75,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Total,2017,40.36,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Single / Widowed / Divorced,2017,39.88,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Married / Union / Cohabiting,2017,40.71,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Not elsewhere classified,2017,40.77,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Total,2017,41.0,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Single / Widowed / Divorced,2017,40.11,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Married / Union / Cohabiting,2017,41.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Total,2017,44.25,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Single / Widowed / Divorced,2017,43.06,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Male,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Married / Union / Cohabiting,2017,45.0,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Female,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,38.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Mean weekly hours actually worked per employee by sex, occupation and marital status",Sex: Female,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,38.88,,,,Repository: ILO-STATISTICS - Micro data processing
