ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,"Age (Youth, adults): 15+",,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,"Age (Youth, adults): 15-24",,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,"Age (Youth, adults): 25+",,2017,39.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,"Age (Youth, adults): 15+",,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,"Age (Youth, adults): 15-24",,2017,39.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,"Age (Youth, adults): 25+",,2017,40.53,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,"Age (Youth, adults): 15+",,2017,38.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,"Age (Youth, adults): 15-24",,2017,38.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,"Age (Youth, adults): 25+",,2017,38.74,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (Aggregate bands): Total,,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (Aggregate bands): 15-24,,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (Aggregate bands): 25-54,,2017,39.75,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (Aggregate bands): 55-64,,2017,39.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (Aggregate bands): 65+,,2017,39.28,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,Age (Aggregate bands): Total,,2017,40.34,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,Age (Aggregate bands): 15-24,,2017,39.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,Age (Aggregate bands): 25-54,,2017,40.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,Age (Aggregate bands): 55-64,,2017,40.47,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Male,Age (Aggregate bands): 65+,,2017,39.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,Age (Aggregate bands): Total,,2017,38.72,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,Age (Aggregate bands): 15-24,,2017,38.57,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,Age (Aggregate bands): 25-54,,2017,38.78,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,Age (Aggregate bands): 55-64,,2017,38.46,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Female,Age (Aggregate bands): 65+,,2017,38.15,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (10-year bands): Total,,2017,39.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (10-year bands): 15-24,,2017,39.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Mean weekly hours actually worked per employee by sex and age,Sex: Total,Age (10-year bands): 25-34,,2017,39.72,,,,Repository: ILO-STATISTICS - Micro data processing
