ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15+",,2017,7767.628,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15-64",,2017,6291.213,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15-24",,2017,3116.209,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Total,"Age (Youth, adults): 25+",,2017,4651.419,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15+",,2017,2365.368,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15-64",,2017,1842.511,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15-24",,2017,1281.889,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Male,"Age (Youth, adults): 25+",,2017,1083.479,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15+",,2017,5402.26,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15-64",,2017,4448.702,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15-24",,2017,1834.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Female,"Age (Youth, adults): 25+",,2017,3567.94,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Total,Age (Aggregate bands): Total,,2017,7767.628,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Persons outside the labour force by sex and age (thousands),Sex: Total,Age (Aggregate bands): 15-24,,2017,3116.209,,,,Repository: ILO-STATISTICS - Micro data processing
