ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2025,9882.153,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2025,3940.413,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2025,5941.74,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2025,3095.718,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2025,1693.323,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2025,1402.394,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2025,6786.435,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",,2025,2247.09,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 25+",,2025,4539.346,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2024,9723.551,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2024,3826.259,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2024,5897.292,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2024,3050.709,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2024,1661.585,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2024,1389.124,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2024,6672.842,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",,2024,2164.674,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 25+",,2024,4508.168,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2023,9579.445,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2023,3689.654,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2023,5889.791,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2023,3006.003,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2023,1624.432,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2023,1381.571,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2023,6573.442,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",,2023,2065.223,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 25+",,2023,4508.22,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2022,9529.285,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2022,3552.134,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2022,5977.152,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2022,2996.925,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2022,1593.015,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2022,1403.91,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2022,6532.36,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",,2022,1959.118,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 25+",,2022,4573.242,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15+",,2021,9854.457,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",,2021,3441.525,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Total,"Age (Youth, adults): 25+",,2021,6412.932,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15+",,2021,3516.783,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",,2021,1536.609,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Male,"Age (Youth, adults): 25+",,2021,1980.174,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15+",,2021,6337.674,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",,2021,1904.916,,,,
