ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2019,710.262,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2019,31.45,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2019,678.812,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2019,222.385,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2019,14.971,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2019,207.414,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2019,487.876,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2019,16.478,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2019,471.398,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2019,271.77,,,,
