ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Presence of children under age 6: Total,2017,78.755,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Presence of children under age 6: Yes,2017,75.31,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Presence of children under age 6: No,2017,81.009,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: One person,Presence of children under age 6: Total,2017,91.933,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: One person,Presence of children under age 6: No,2017,91.933,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Couple without children,Presence of children under age 6: Total,2017,79.794,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Couple without children,Presence of children under age 6: No,2017,79.794,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Couple with children,Presence of children under age 6: Total,2017,77.59,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Couple with children,Presence of children under age 6: Yes,2017,75.652,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Couple with children,Presence of children under age 6: No,2017,78.849,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Lone parent,Presence of children under age 6: Total,2017,85.51,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Lone parent,Presence of children under age 6: Yes,2017,79.544,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Lone parent,Presence of children under age 6: No,2017,87.155,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Extended family,Presence of children under age 6: Total,2017,77.774,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Extended family,Presence of children under age 6: Yes,2017,74.808,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Extended family,Presence of children under age 6: No,2017,80.71,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Total,Presence of children under age 6: Total,2017,92.896,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Total,Presence of children under age 6: Yes,2017,92.533,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Total,Presence of children under age 6: No,2017,93.131,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: One person,Presence of children under age 6: Total,2017,94.636,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: One person,Presence of children under age 6: No,2017,94.636,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Couple without children,Presence of children under age 6: Total,2017,94.916,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Couple without children,Presence of children under age 6: No,2017,94.916,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Couple with children,Presence of children under age 6: Total,2017,95.913,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Couple with children,Presence of children under age 6: Yes,2017,95.293,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Couple with children,Presence of children under age 6: No,2017,96.367,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Lone parent,Presence of children under age 6: Total,2017,90.428,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Lone parent,Presence of children under age 6: Yes,2017,77.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Lone parent,Presence of children under age 6: No,2017,93.138,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Extended family,Presence of children under age 6: Total,2017,89.528,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Extended family,Presence of children under age 6: Yes,2017,90.296,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Male,Household type: Extended family,Presence of children under age 6: No,2017,88.845,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Total,Presence of children under age 6: Total,2017,66.358,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Total,Presence of children under age 6: Yes,2017,60.358,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Total,Presence of children under age 6: No,2017,70.315,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: One person,Presence of children under age 6: Total,2017,83.555,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: One person,Presence of children under age 6: No,2017,83.555,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Couple without children,Presence of children under age 6: Total,2017,65.858,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Couple without children,Presence of children under age 6: No,2017,65.858,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Couple with children,Presence of children under age 6: Total,2017,59.819,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Couple with children,Presence of children under age 6: Yes,2017,53.576,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Couple with children,Presence of children under age 6: No,2017,63.408,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Lone parent,Presence of children under age 6: Total,2017,84.647,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Lone parent,Presence of children under age 6: Yes,2017,79.847,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Lone parent,Presence of children under age 6: No,2017,86.032,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Extended family,Presence of children under age 6: Total,2017,67.67,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Extended family,Presence of children under age 6: Yes,2017,62.773,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Female,Household type: Extended family,Presence of children under age 6: No,2017,72.988,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Number of children under age 6: Total,2017,78.755,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Number of children under age 6: 0,2017,81.009,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Number of children under age 6: 1,2017,76.438,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Number of children under age 6: 2,2017,72.506,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: Total,Number of children under age 6: 3+,2017,71.308,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: One person,Number of children under age 6: Total,2017,91.933,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Prime-age employment-to-population ratio by sex, household type and presence of children (%)",Sex: Total,Household type: One person,Number of children under age 6: 0,2017,91.933,,,,Repository: ILO-STATISTICS - Micro data processing
