ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15+",,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15-64",,2017,3034.785,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15-24",,2017,229.745,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,"Age (Youth, adults): 25+",,2017,2884.689,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15+",,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15-64",,2017,1361.758,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15-24",,2017,134.484,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,"Age (Youth, adults): 25+",,2017,1273.901,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15+",,2017,1706.049,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15-64",,2017,1673.027,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15-24",,2017,95.261,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Female,"Age (Youth, adults): 25+",,2017,1610.788,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,Age (Aggregate bands): Total,,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,Age (Aggregate bands): 15-24,,2017,229.745,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,Age (Aggregate bands): 25-54,,2017,2481.563,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,Age (Aggregate bands): 55-64,,2017,323.477,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Total,Age (Aggregate bands): 65+,,2017,79.649,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,Age (Aggregate bands): Total,,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,Age (Aggregate bands): 15-24,,2017,134.484,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,Age (Aggregate bands): 25-54,,2017,1074.355,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,Age (Aggregate bands): 55-64,,2017,152.919,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and age (thousands),Sex: Male,Age (Aggregate bands): 65+,,2017,46.627,,,,Repository: ILO-STATISTICS - Micro data processing
