ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Total,,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,1407.565,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2017,1561.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 1 ~ low,,2017,25.161,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2017,120.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Total,,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,445.491,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2017,837.396,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 1 ~ low,,2017,23.81,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2017,101.688,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Female,Occupation (Skill level): Total,,2017,1706.049,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,962.074,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,,2017,724.093,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Female,Occupation (Skill level): Skill level 1 ~ low,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Female,Occupation (Skill level): Not elsewhere classified,,2017,18.531,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): Total,,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",,2017,127.002,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 2. Professionals,,2017,1280.563,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 4. Clerks,,2017,414.399,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,,2017,864.492,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,,2017,11.698,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,,2017,270.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 9. Elementary occupations,,2017,25.161,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): 0. Armed forces,,2017,111.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Total,Occupation (ISCO-88): X. Not elsewhere classified,,2017,8.243,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (ISCO-88): Total,,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",,2017,85.458,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (ISCO-88): 2. Professionals,,2017,360.033,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Public sector employment by sex and occupation (thousands),Sex: Male,Occupation (ISCO-88): 4. Clerks,,2017,126.654,,,,Repository: ILO-STATISTICS - Micro data processing
