ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Total,Occupation (Skill level): Total,,2017,1660.09,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,1953.03,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2017,1547.01,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Total,Occupation (Skill level): Skill level 1 ~ low,,2017,2148.03,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2017,1862.4,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Male,Occupation (Skill level): Total,,2017,1720.51,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2017,2005.55,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2017,1645.22,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Male,Occupation (Skill level): Skill level 1 ~ low,,2017,2289.69,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2017,1935.65,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
