ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Total,2017,48.835,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,13.75,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 2 ~ medium,2017,57.932,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 1 ~ low,2017,37.351,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Total,Occupation (Skill level): Not elsewhere classified,2017,41.605,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Total,2017,83.032,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,27.494,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 2 ~ medium,2017,84.046,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 1 ~ low,2017,81.58,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Industry,Occupation (Skill level): Total,2017,53.145,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,14.103,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Share of employment outside the formal sector by economic activity and occupation (%),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill level 2 ~ medium,2017,59.005,,,,Repository: ILO-STATISTICS - Micro data processing
