ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Total,Establishment size (Aggregate): Total,2017,48.835,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Total,Establishment size (Aggregate): 1-4 persons,2017,84.795,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Total,Establishment size (Aggregate): 5-49 persons,2017,12.735,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Total,Establishment size (Aggregate): 50+ persons,2017,17.139,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Total,Establishment size (Aggregate): Not stated,2017,99.648,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Establishment size (Aggregate): Total,2017,13.75,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Establishment size (Aggregate): 1-4 persons,2017,47.304,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Establishment size (Aggregate): 5-49 persons,2017,4.478,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Establishment size (Aggregate): 50+ persons,2017,11.482,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Establishment size (Aggregate): Not stated,2017,100.0,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of employment outside the formal sector by sex, occupation and establishment size (%)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Establishment size (Aggregate): Total,2017,57.932,,,,Repository: ILO-STATISTICS - Micro data processing
