ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Aggregate): Total,,2017,22.847,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Aggregate): Single / Widowed / Divorced,,2017,19.449,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Aggregate): Married / Union / Cohabiting,,2017,38.441,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Aggregate): Not elsewhere classified,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Male,Marital status (Aggregate): Total,,2017,15.108,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Male,Marital status (Aggregate): Single / Widowed / Divorced,,2017,16.066,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Male,Marital status (Aggregate): Married / Union / Cohabiting,,2017,8.617,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Male,Marital status (Aggregate): Not elsewhere classified,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Female,Marital status (Aggregate): Total,,2017,30.969,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Female,Marital status (Aggregate): Single / Widowed / Divorced,,2017,23.475,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Female,Marital status (Aggregate): Married / Union / Cohabiting,,2017,55.801,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Female,Marital status (Aggregate): Not elsewhere classified,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Detailed): Total,,2017,22.847,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Detailed): Single,,2017,18.672,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Detailed): Married,,2017,31.553,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",Sex: Total,Marital status (Detailed): Union / Cohabiting,,2017,39.237,,,,Repository: ILO-STATISTICS - Micro data processing
