ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2019,785.853,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2019,77.29,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2019,708.563,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2019,102.646,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2019,15.701,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2019,86.944,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2019,683.207,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2019,61.588,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2019,621.619,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2019,447.715,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2019,44.992,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2019,402.723,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2019,62.5,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2019,9.711,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2019,52.789,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2019,385.215,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Rural,2019,35.281,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Urban,2019,349.935,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: National,2019,338.138,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Rural,2019,32.298,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Urban,2019,305.839,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: National,2019,40.146,,,,
