ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2020,693.151,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2020,25.784,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2020,667.366,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2020,216.743,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2020,13.375,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2020,203.368,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2020,476.408,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2020,12.41,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2020,463.998,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2020,412.278,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2020,15.32,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2020,396.958,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2020,143.178,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2020,8.866,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2020,134.312,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2020,269.1,,,,
