ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Total,Type of unemployment: Total,,2017,774.703,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Total,Type of unemployment: Unemployed previously employed,,2017,543.861,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Total,Type of unemployment: Unemployed seeking their first job,,2017,230.842,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Male,Type of unemployment: Total,,2017,409.867,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Male,Type of unemployment: Unemployed previously employed,,2017,301.896,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Male,Type of unemployment: Unemployed seeking their first job,,2017,107.971,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Female,Type of unemployment: Total,,2017,364.836,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Female,Type of unemployment: Unemployed previously employed,,2017,241.965,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Female,Type of unemployment: Unemployed seeking their first job,,2017,122.871,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Total,Type of unemployment: Total,,2016,732.292,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Total,Type of unemployment: Unemployed previously employed,,2016,616.25,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Total,Type of unemployment: Unemployed seeking their first job,,2016,116.042,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Male,Type of unemployment: Total,,2016,439.227,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Male,Type of unemployment: Unemployed previously employed,,2016,387.736,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Male,Type of unemployment: Unemployed seeking their first job,,2016,51.491,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment by sex and categories of unemployed persons (thousands),Sex: Female,Type of unemployment: Total,,2016,293.065,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
