ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Total,Economic activity (Broad sector): Total,,2012,842.931,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Total,Economic activity (Broad sector): Agriculture,,2012,47.679,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Total,Economic activity (Broad sector): Non-agriculture,,2012,795.252,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Total,Economic activity (Broad sector): Industry,,2012,275.444,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Total,Economic activity (Broad sector): Services,,2012,489.72,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Total,Economic activity (Broad sector): Not classified,,2012,30.088,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Male,Economic activity (Broad sector): Total,,2012,493.151,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Male,Economic activity (Broad sector): Agriculture,,2012,41.237,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Male,Economic activity (Broad sector): Non-agriculture,,2012,451.914,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Male,Economic activity (Broad sector): Industry,,2012,230.92,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Male,Economic activity (Broad sector): Services,,2012,208.211,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Male,Economic activity (Broad sector): Not classified,,2012,12.783,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Female,Economic activity (Broad sector): Total,,2012,349.78,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Female,Economic activity (Broad sector): Agriculture,,2012,6.442,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Female,Economic activity (Broad sector): Non-agriculture,,2012,343.338,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Female,Economic activity (Broad sector): Industry,,2012,44.524,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Female,Economic activity (Broad sector): Services,,2012,281.509,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former economic activity (thousands),Sex: Female,Economic activity (Broad sector): Not classified,,2012,17.305,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
