ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Total,,2012,842.931,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2012,119.313,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2012,719.936,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2012,3.682,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Total,,2012,493.151,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2012,38.43,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2012,451.65,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2012,3.071,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Total,,2012,349.78,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2012,80.883,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,,2012,268.286,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Not elsewhere classified,,2012,0.611,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): Total,,2012,842.931,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 1. Managers,,2012,24.242,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 2. Professionals,,2012,95.071,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,2012,75.62,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,2012,299.042,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",,2012,44.974,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,2012,246.301,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",,2012,53.999,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 0. Armed forces occupations,,2012,2.312,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): X. Not elsewhere classified,,2012,1.37,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): Total,,2012,493.151,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 1. Managers,,2012,12.637,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
