ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2020,6.627,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2020,3.747,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2020,6.83,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2020,14.682,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2020,7.839,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2020,15.576,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2020,5.303,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2020,2.398,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2020,5.481,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2020,6.071,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2020,3.388,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2020,6.262,,,,
