ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 15+",,2025,5.301,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 15-24",,2025,10.544,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 25+",,2025,4.553,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Male,"Age (Youth, adults): 15+",,2025,4.947,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Male,"Age (Youth, adults): 15-24",,2025,9.236,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Male,"Age (Youth, adults): 25+",,2025,4.226,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Female,"Age (Youth, adults): 15+",,2025,5.891,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Female,"Age (Youth, adults): 15-24",,2025,13.924,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Female,"Age (Youth, adults): 25+",,2025,5.068,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 15+",,2024,5.353,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 15-24",,2024,10.58,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 25+",,2024,4.621,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Male,"Age (Youth, adults): 15+",,2024,5.025,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Male,"Age (Youth, adults): 15-24",,2024,9.277,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Male,"Age (Youth, adults): 25+",,2024,4.329,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Female,"Age (Youth, adults): 15+",,2024,5.906,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Female,"Age (Youth, adults): 15-24",,2024,13.91,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Female,"Age (Youth, adults): 25+",,2024,5.087,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)",Sex: Total,"Age (Youth, adults): 15+",,2023,5.528,,,,
