ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Labour market status: Total,2017,23122.616,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Labour market status: Employed,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Labour market status: Unemployed,2017,774.703,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Labour market status: Outside the labour force,2017,7767.628,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Labour market status: Total,2017,20954.61,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Labour market status: Employed,2017,13899.89,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Labour market status: Unemployed,2017,763.507,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Labour market status: Outside the labour force,2017,6291.213,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Labour market status: Total,2017,5389.461,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Labour market status: Employed,2017,1999.251,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Labour market status: Unemployed,2017,274.001,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Labour market status: Outside the labour force,2017,3116.209,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Labour market status: Total,2017,17733.155,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Labour market status: Employed,2017,12581.034,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Labour market status: Unemployed,2017,500.702,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Labour market status: Outside the labour force,2017,4651.419,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Labour market status: Total,2017,11470.544,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Labour market status: Employed,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Labour market status: Unemployed,2017,409.867,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Labour market status: Outside the labour force,2017,2365.368,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Labour market status: Total,2017,10500.157,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Labour market status: Employed,2017,8257.799,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Labour market status: Unemployed,2017,399.847,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Labour market status: Outside the labour force,2017,1842.511,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Labour market status: Total,2017,2759.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Labour market status: Employed,2017,1322.567,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Labour market status: Unemployed,2017,155.395,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Labour market status: Outside the labour force,2017,1281.889,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 25+",Labour market status: Total,2017,8710.693,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 25+",Labour market status: Employed,2017,7372.742,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 25+",Labour market status: Unemployed,2017,254.472,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Male,"Age (Youth, adults): 25+",Labour market status: Outside the labour force,2017,1083.479,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15+",Labour market status: Total,2017,11652.072,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15+",Labour market status: Employed,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15+",Labour market status: Unemployed,2017,364.836,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15+",Labour market status: Outside the labour force,2017,5402.26,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Labour market status: Total,2017,10454.453,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Labour market status: Employed,2017,5642.091,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Labour market status: Unemployed,2017,363.66,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Labour market status: Outside the labour force,2017,4448.702,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Working-age population by sex, age and labour market status (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Labour market status: Total,2017,2629.61,,,,Repository: ILO-STATISTICS - Micro data processing
