ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Total,Education (Aggregate levels): Total,,2017,23122.616,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Total,Education (Aggregate levels): Less than basic,,2017,704.141,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Total,Education (Aggregate levels): Basic,,2017,8355.359,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Total,Education (Aggregate levels): Intermediate,,2017,7240.789,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Total,Education (Aggregate levels): Advanced,,2017,6791.965,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Total,Education (Aggregate levels): Level not stated,,2017,30.362,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Male,Education (Aggregate levels): Total,,2017,11470.544,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Male,Education (Aggregate levels): Less than basic,,2017,347.08,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Male,Education (Aggregate levels): Basic,,2017,4530.994,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Male,Education (Aggregate levels): Intermediate,,2017,3762.295,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Male,Education (Aggregate levels): Advanced,,2017,2813.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Male,Education (Aggregate levels): Level not stated,,2017,16.812,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Female,Education (Aggregate levels): Total,,2017,11652.072,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Female,Education (Aggregate levels): Less than basic,,2017,357.061,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Female,Education (Aggregate levels): Basic,,2017,3824.365,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Female,Education (Aggregate levels): Intermediate,,2017,3478.494,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Working-age population by sex and education (thousands),Sex: Female,Education (Aggregate levels): Advanced,,2017,3978.602,,,,Repository: ILO-STATISTICS - Micro data processing
