ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-29,Status in employment (Aggregate): Total,2017,3835.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-29,Status in employment (Aggregate): Employees,2017,2393.601,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-29,Status in employment (Aggregate): Self-employed,2017,1420.307,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-29,Status in employment (Aggregate): Workers not classifiable by status,2017,21.472,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-19,Status in employment (Aggregate): Total,2017,594.68,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-19,Status in employment (Aggregate): Employees,2017,340.47,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-19,Status in employment (Aggregate): Self-employed,2017,245.349,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 15-19,Status in employment (Aggregate): Workers not classifiable by status,2017,8.861,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 20-24,Status in employment (Aggregate): Total,2017,1404.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 20-24,Status in employment (Aggregate): Employees,2017,885.455,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 20-24,Status in employment (Aggregate): Self-employed,2017,510.237,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 20-24,Status in employment (Aggregate): Workers not classifiable by status,2017,8.879,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 25-29,Status in employment (Aggregate): Total,2017,1836.129,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 25-29,Status in employment (Aggregate): Employees,2017,1167.676,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 25-29,Status in employment (Aggregate): Self-employed,2017,664.721,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Total,Age (Youth bands): 25-29,Status in employment (Aggregate): Workers not classifiable by status,2017,3.732,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-29,Status in employment (Aggregate): Total,2017,2437.546,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-29,Status in employment (Aggregate): Employees,2017,1438.993,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-29,Status in employment (Aggregate): Self-employed,2017,989.878,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-29,Status in employment (Aggregate): Workers not classifiable by status,2017,8.675,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-19,Status in employment (Aggregate): Total,2017,399.743,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-19,Status in employment (Aggregate): Employees,2017,223.907,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-19,Status in employment (Aggregate): Self-employed,2017,173.31,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 15-19,Status in employment (Aggregate): Workers not classifiable by status,2017,2.526,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 20-24,Status in employment (Aggregate): Total,2017,922.824,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and status in employment (thousands)",Sex: Male,Age (Youth bands): 20-24,Status in employment (Aggregate): Employees,2017,558.597,,,,Repository: ILO-STATISTICS - Micro data processing
