ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 15-29,Working time arrangement: Total,2017,3835.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 15-29,Working time arrangement: Part-time,2017,1012.22,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 15-29,Working time arrangement: Full-time,2017,2823.16,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 15-19,Working time arrangement: Total,2017,594.68,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 15-19,Working time arrangement: Part-time,2017,204.186,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 15-19,Working time arrangement: Full-time,2017,390.494,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 20-24,Working time arrangement: Total,2017,1404.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 20-24,Working time arrangement: Part-time,2017,372.294,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 20-24,Working time arrangement: Full-time,2017,1032.277,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 25-29,Working time arrangement: Total,2017,1836.129,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 25-29,Working time arrangement: Part-time,2017,435.74,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Total,Age (Youth bands): 25-29,Working time arrangement: Full-time,2017,1400.389,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 15-29,Working time arrangement: Total,2017,2437.546,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 15-29,Working time arrangement: Part-time,2017,559.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 15-29,Working time arrangement: Full-time,2017,1878.357,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 15-19,Working time arrangement: Total,2017,399.743,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 15-19,Working time arrangement: Part-time,2017,128.028,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 15-19,Working time arrangement: Full-time,2017,271.715,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 20-24,Working time arrangement: Total,2017,922.824,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 20-24,Working time arrangement: Part-time,2017,212.673,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 20-24,Working time arrangement: Full-time,2017,710.151,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 25-29,Working time arrangement: Total,2017,1114.979,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 25-29,Working time arrangement: Part-time,2017,218.488,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Male,Age (Youth bands): 25-29,Working time arrangement: Full-time,2017,896.491,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 15-29,Working time arrangement: Total,2017,1397.834,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 15-29,Working time arrangement: Part-time,2017,453.031,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 15-29,Working time arrangement: Full-time,2017,944.803,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 15-19,Working time arrangement: Total,2017,194.937,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 15-19,Working time arrangement: Part-time,2017,76.158,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 15-19,Working time arrangement: Full-time,2017,118.779,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 20-24,Working time arrangement: Total,2017,481.747,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 20-24,Working time arrangement: Part-time,2017,159.621,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 20-24,Working time arrangement: Full-time,2017,322.126,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 25-29,Working time arrangement: Total,2017,721.15,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth employment by sex, age and working time arrangement (thousands)",Sex: Female,Age (Youth bands): 25-29,Working time arrangement: Part-time,2017,217.252,,,,Repository: ILO-STATISTICS - Micro data processing
