ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2017,46.624,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2017,56.196,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2017,49.085,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2017,49.148,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2017,41.055,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2017,46.014,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2017,74.767,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2017,70.818,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2017,71.777,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2017,76.689,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2017,76.609,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2017,40.329,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2017,52.145,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2017,32.04,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2017,32.693,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2017,50.622,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Level not stated,2017,56.706,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2017,23.406,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2017,45.129,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2017,25.625,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2017,23.967,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2017,21.047,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Level not stated,2017,37.934,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2017,34.577,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2017,43.986,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2017,33.435,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2017,35.635,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2017,33.685,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2017,36.144,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2017,67.392,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2017,63.224,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2017,61.741,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2017,71.083,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2017,73.6,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2017,24.704,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2017,39.869,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2017,12.018,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2017,15.485,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2017,42.451,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Level not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2017,9.68,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2017,27.774,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2017,7.313,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2017,6.687,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2017,13.518,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Level not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2017,59.171,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2017,77.303,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2017,70.815,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2017,64.37,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2017,46.414,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2017,60.788,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2017,82.552,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2017,83.513,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2017,84.698,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2017,82.382,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2017,78.54,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2017,56.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2017,82.082,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2017,60.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2017,53.605,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2017,56.908,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 20-24,Education (Aggregate levels): Level not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2017,37.48,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2017,69.295,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2017,54.002,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2017,45.054,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2017,26.416,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Female,Age (Youth bands): 25-29,Education (Aggregate levels): Level not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2016,52.544,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2016,67.51,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2016,58.759,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2016,51.92,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2016,47.826,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2016,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2016,81.856,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2016,78.297,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2016,81.05,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2016,81.792,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2016,84.833,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2016,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2016,47.876,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2016,66.946,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2016,36.64,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2016,38.023,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2016,58.672,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2016,26.647,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2016,59.142,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2016,28.16,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2016,25.467,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2016,25.808,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Level not stated,2016,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2016,40.3,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2016,59.24,,,,Repository: ILO-STATISTICS - Micro data processing
